time_ms,voltage_mV,m,h,n,INa_uA_cm2,IK_uA_cm2,IL_uA_cm2
0.0,-65.0,0.05293248525724958,0.5961207535084603,0.3176769140606974,-1.2200571764654333,4.399733467282938,-3.1839
0.025,-64.99989527857983,0.05293251866949401,0.5961207481233313,0.3176769177400438,-1.2200583648208791,4.399772066644347,-3.183868583573948
0.05,-64.99979221460741,0.052932613692747814,0.5961207321044042,0.31767692867681363,-1.220063809276768,4.399810460375108,-3.183837664382223
0.07500000000000001,-64.99969069132977,0.05293276315474984,0.5961207056466118,0.3176769467259817,-1.2200730130765922,4.399848683257865,-3.183807207398932
0.1,-64.99959060535487,0.052932960670694404,0.5961206689330469,0.3176769717508824,-1.2200855340489696,4.399886765639206,-3.18377718160646
0.125,-64.9994918651645,0.05293320055643646,0.5961206221362892,0.31767700362228934,-1.2201009785854373,4.399924733923948,-3.18374755954935
0.15000000000000002,-64.99939438979162,0.05293347775127333,0.5961205654195837,0.3176770422175971,-1.220118996284003,4.399962611014823,-3.1837183169374854
0.17500000000000002,-64.99929810764368,0.05293378774924534,0.5961204989378882,0.31767708742009443,-1.2201392751846407,4.400000416703646,-3.183689432293104
0.2,-64.99920295545593,0.052934126538016275,0.596120422838804,0.31767713911831796,-1.2201615375312496,4.400038168019327,-3.1836608866367784
0.225,-64.99910887736033,0.052934490544496345,0.596120337263402,0.3176771972054788,-1.2201855360017606,4.400075879537483,-3.183632663208098
0.25,-64.99901582405734,0.05293487658646435,0.5961202423469569,0.31767726157895276,-1.2202110503546233,4.400113563655892,-3.1836047472172013
0.275,-64.99892375207912,0.05293528182952675,0.5961201382195993,0.3176773321398275,-1.220237884445615,4.400151230839563,-3.1835771256237364
0.30000000000000004,-64.99883262313418,0.05293570374882472,0.5961200250068937,0.3176774087925011,-1.2202658635740147,4.400188889838789,-3.183549786940253
0.325,-64.99874240352432,0.05293614009496552,0.5961199028303523,0.3176774914443249,-1.2202948321217557,4.400226547883139,-3.183522721057295
0.35000000000000003,-64.99865306362612,0.05293658886371203,0.596119771807891,0.31767758000528706,-1.220324651453166,4.40026421085406,-3.1834959190878362
0.375,-64.9985645774296,0.052937048269015574,0.5961196320542326,0.3176776743877318,-1.2203551980465028,4.400301883438468,-3.1834693732288812
0.4,-64.99847692212794,0.05293751671902355,0.596119483681266,0.3176777745061102,-1.2203863618316921,4.400339569265379,-3.18344307663838
0.42500000000000004,-64.99839007775245,0.05293799279473358,0.5961193267983632,0.31767788027675914,-1.2204180447114954,4.400377271027496,-3.1834170233257337
0.45,-64.998304026848,0.05293847523100154,0.5961191615126611,0.31767799161770593,-1.2204501592458095,4.400414990589403,-3.183391208054401
0.47500000000000003,-64.99821875418425,0.052938962899645045,0.5961189879293101,0.31767810844849464,-1.220482627481164,4.400452729083816,-3.183365626255275
0.5,-64.99813424649886,0.05293945479440981,0.5961188061516948,0.3176782306900326,-1.2205153799093016,4.40049048699723,-3.1833402739496592
0.525,-64.99805049226909,0.052939950017594516,0.5961186162816291,0.3176783582644545,-1.2205483545406612,4.4005282642461445,-3.1833151476807258
0.55,-64.99796748150867,0.05294044776815043,0.5961184184195285,0.31767849109500246,-1.220581496080036,4.400566060244877,-3.1832902444526
0.5750000000000001,-64.9978852055872,0.05294094733109352,0.596118212664562,0.31767862910591954,-1.2206147551931523,4.400603873965905,-3.1832655616761585
0.6000000000000001,-64.99780365706948,0.05294144806808397,0.5961179991147864,0.3176787722223562,-1.2206480878541188,4.400641703993573,-3.1832410971208445
0.625,-64.99772282957275,0.05294194940904461,0.5961177778672648,0.3176789203702874,-1.2206814547648444,4.400679548571866,-3.183216848871825
0.65,-64.99764271763964,0.05294245084470334,0.5961175490181708,0.31767907347643976,-1.2207148208384577,4.400717405646935,-3.1831928152918905
0.675,-64.99756331662529,0.05294295191995781,0.5961173126628797,0.31767923146822735,-1.220748154739684,4.40075527290493,-3.1831689949875863
0.7000000000000001,-64.99748462259704,0.052943452227971616,0.5961170688960491,0.3176793942736953,-1.2207814284758856,4.40079314780567,-3.1831453867791124
0.7250000000000001,-64.99740663224517,0.05294395140492131,0.5961168178116895,0.3176795618214701,-1.2208146170331904,4.400831027612609,-3.183121989673552
0.75,-64.99732934280361,0.0529444491253221,0.5961165595032256,0.31767973404071637,-1.2208476980526946,4.400868909419506,-3.1830988028410827
0.775,-64.99725275197954,0.05294494509786923,0.5961162940635504,0.3176799108610986,-1.2208806515423871,4.400906790174124,-3.183075825593863
0.8,-64.99717685789076,0.05294543906173704,0.5961160215850715,0.3176800922127481,-1.2209134596207756,4.40094466669937,-3.183053057367229
0.8250000000000001,-64.99710165901008,0.05294593078328627,0.5961157421597524,0.3176802780262343,-1.2209461062887859,4.400982535712076,-3.183030497703025
0.8500000000000001,-64.99702715411597,0.05294642005313368,0.5961154558791468,0.3176804682325392,-1.2209785772267612,4.401020393839705,-3.1830081462347906
0.875,-64.99695334224866,0.05294690668354468,0.5961151628344297,0.3176806627630361,-1.2210108596138323,4.401058237635235,-3.1829860026745975
0.9,-64.99688022267122,0.05294739050611298,0.5961148631164224,0.3176808615494705,-1.2210429419671665,4.401096063590407,-3.182964066801367
0.925,-64.99680779483508,0.052947871369695795,0.5961145568156153,0.31768106452394446,-1.2210748139989225,4.401133868147477,-3.1829423384505233
0.9500000000000001,-64.99673605834926,0.052948349138576,0.5961142440221864,0.31768127161890247,-1.2211064664889217,4.4011716477097265,-3.1829208175047765
0.9750000000000001,-64.99666501295329,0.052948823690826916,0.5961139248260166,0.31768148276712005,-1.2211378911713573,4.4012093986507566,-3.1828995038859857
1.0,-64.99659465849307,0.05294929491685659,0.5961135993167028,0.3176816979016939,-1.2211690806339337,4.401247117322798,-3.1828783975479196
1.0250000000000001,-64.99652499489952,0.05294976271811239,0.5961132675835692,0.3176819169560338,-1.2212000282281168,4.401284800064088,-3.1828574984698546
1.05,-64.99645602216967,0.05295022700592788,0.5961129297156746,0.31768213986385585,-1.2212307279892332,4.401322443205433,-3.1828368066509
1.075,-64.99638774034995,0.05295068770049623,0.5961125858018202,0.3176823665591771,-1.2212611745653426,4.401360043076038,-3.1828163221049834
1.1,-64.99632014952135,0.05295114472995661,0.596112235930554,0.3176825969763111,-1.221291363153929,4.401397596008704,-3.1827960448564054
1.125,-64.9962532497864,0.052951598029580646,0.5961118801901744,0.31768283104986494,-1.221321289445529,4.401435098344434,-3.1827759749359217
1.1500000000000001,-64.99618704125758,0.05295204754104803,0.5961115186687329,0.31768306871473634,-1.2213509495735346,4.401472546436535,-3.1827561123772754
1.175,-64.99612152404714,0.052952493211801704,0.5961111514540351,0.3176833099061124,-1.2213803400695116,4.401509936654265,-3.182736457214142
